paper_id,field_name,ai_value,human_value,match_status,review_comment,source_page,source_sentence,proposed_human_value,proposed_match_status,machine_review_confidence,human_confirmation
B01-0072,composition.final_formula,Li6.8-3xGaxLa3Zr1.8Nb0.2O12 (0 <= x <= 0.3),,,,PDF 2 (printed p. 9),Two different solutions are needed for synthesizing Li6.8-3xGaxLa3Zr1.8Nb0.2O12 (0 <= x <= 0.3) powder.,,,medium,
B01-0072,composition.dopant_element,"[""Ga"",""Nb""]",,,,PDF 2 (printed p. 9),"In this paper, a new doped LLZO was synthesized by sol gel method, in which Ga3+ and Nb5+ were used to partially replace Li+ and Zr4+ in Li7La3Zr2O12.","[""Ga"",""Nb""]",correct,high,
B01-0072,composition.dopant_site,"{""Ga"":""Li"",""Nb"":""Zr""}",,,,PDF 3 (printed p. 10),The above result shows that the cubic structure of LLZO can be stabilized at room temperature by single-doped Nb element occupying the Zr site. Ga as a second cation is used to occupy the Li sites to further fine-tune the structure to get a higher conductivity.,"{""Ga"":""Li"",""Nb"":""Zr""}",correct,high,
B01-0072,composition.dopant_concentration,"{""Ga_x_min"":0,""Ga_x_max"":0.3,""Nb_formula_coefficient"":0.2}",,,,PDF 2 (printed p. 9),"Ga and Nb Co-doped LLZO powders were synthesized via the sol gel method, and the ceramics of which were prepared by conventional sintering method under normal pressure. CH3COOLi, Ga(NO3)3*xH2O, C6H9O6La*xH2O, C5H8N2O15Zr2, C10H5NbO2 were prepared according to the molar ratio of (6.8-3x):x:3:0.9:0.2.",,,medium,
B01-0072,processing.calcination_temperature,800,,,,PDF 2 (printed p. 9),"Finally, the gels were ground and then calcined in an air atmosphere at 800 C for 8 h to obtain Li6.8-3xGaxLa3Zr1.8Nb0.2O12 (0 <= x <= 0.3) powders.",800 C,correct,high,
B01-0072,processing.sintering_temperature,1100,,,,PDF 2 (printed p. 9),"The powders were pressed into pellets with a diameter of 10 mm, and then the pellets were sintered for synthesizing ceramics by cover in master powders at 1100 C for 8 h.",1100 C,correct,high,
B01-0072,processing.sintering_time,8,,,,PDF 2 (printed p. 9),"The powders were pressed into pellets with a diameter of 10 mm, and then the pellets were sintered for synthesizing ceramics by cover in master powders at 1100 C for 8 h.",8 h,correct,high,
B01-0072,processing.atmosphere,air (calcination only),,,,PDF 2 (printed p. 9),"Finally, the gels were ground and then calcined in an air atmosphere at 800 C for 8 h to obtain Li6.8-3xGaxLa3Zr1.8Nb0.2O12 (0 <= x <= 0.3) powders.",Air for calcination; sintering atmosphere not reported; pellets covered in master powder,correct,high,
B01-0072,transport.total_conductivity,0.00037,,,,PDF 5 (printed p. 12),"When the sample with x = 0.2, the resistance value is the smallest, and the ionic conductivity is the maximum (3.7 x 10^-4 S cm^-1).",,,high,
B01-0072,transport.bulk_conductivity,unknown,,,,,,,,medium,
B01-0072,transport.grain_boundary_conductivity,unknown,,,,,,,,medium,
B01-0072,transport.activation_energy,unknown,,,,,,,,low,
B01-0072,interface.interfacial_resistance,unknown,,,,,,,,medium,
B01-0072,interface.critical_current_density,unknown,,,,,,unknown (not reported),correct,high,
B01-0072,interface.li_symmetric_lifetime,unknown,,,,,,unknown (not reported),correct,high,
B01-0072,battery.capacity_retention,unknown,,,,,,unknown (not reported),correct,high,
B01-0072,battery.cycle_number,unknown,,,,,,unknown (not reported),correct,high,
